hash,buggy_sha,tree,backport,buggy_tag,root cause,Trigger condition,discover,afterfix,consequence,visibility,Note (conseqeuce),Note (trigger),,discovery,hardware,
3ebb1b6522392f64902b4e96954e35927354aa27,8bdc5daaa01e,master,,v6.15,semantic(incorrect logic implementation making decision  update attr managetimer etc),Property change (per system),Code Review or Internal Debug,no action,Functionality (Trace or account),None,,,,,,
aa3ee4f0b7541382c9f6f43f7408d73a5d4f4042,152e11f6df29,master;linux-6.12.y,linux-6.12.y,v6.12,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Kthread Behavior, Thread Behavior",Code Review or Internal Debug,no action,"""Performance (Policy violation, locality)""",None,,,,,,
b7ca5743a2604156d6083b88cefacef983f3a3a6,152e11f6df29,master;linux-6.12.y,linux-6.12.y,v6.12,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Thread Behavior, Kthread Behavior",User reported or In-production,comment,Functionality (response error),None,,,,,,
bbce3de72be56e4b5f68924b7da9630cc89aa1a8,aef6987d8954,master;linux-6.12.y,linux-6.12.y,v6.12,semantic(generic wrong type integer overflow etc),"Thread Behavior, Property change (per cgroup)",User reported or In-production,no action,"Crash, Functionality (starvation)",Panic,,,,,,
79443a7e9da3c9f68290a8653837e23aba0fa89f,600f5badb78c,master;linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y;linux-5.4.y,linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y;linux-5.4.y,v5.3,concurrency,Property change (per system),Code Review or Internal Debug,comment,"""Performance (Policy violation, cpufreq control)""",None,,,,,,
cfde542df7dd51d26cf667f4af497878ddffd85a,8e461a1cb43d,master;linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y,linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y,v6.14,semantic(incorrect logic implementation making decision  update attr managetimer etc),Property change (per system),Code Review or Internal Debug,comment,"""Performance (Policy violation, cpufreq control)""",None,,,,,,
c70fc32f44431bb30f9025ce753ba8be25acbba3,6d71a9c61604,master,,v6.13,semantic(incorrect update stats),"Thread Behavior, Property change (per thread)",Code Review or Internal Debug,no action,"""Performance (Policy violation, fairness)"", ""Performance (Policy violation, balance, work conserving)""",None,,,,,,
8feb053d53194382fcfb68231296fdc220497ea6,fa2c3254d7cf,master;linux-6.12.y,linux-6.12.y,v5.18,semantic(incorrect logic implementation making decision  update attr managetimer etc),Thread Behavior,User reported or In-production,no action,Functionality (Trace or account),None,,,,,,
2ff899e3516437354204423ef0a94994717b8e6a,53916d5fd3c0,master,,v6.14,semantic(incorrect update stats),"Thread Behavior, Hotplug/Hotunplug",User reported or In-production,comment,Functionality (Deadline enforce / admission control),None,,,,,,
f6147af176eaa4027b692fdbb1a0a60dfaa1e9b6,53916d5fd3c0,master,,v6.14,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Kthread Behavior, Hotplug/Hotunplug",User reported or In-production,no action,Functionality (Deadline enforce / admission control),None,,,,,,
f3fa0e40df175acd60b71036b9a1fd62310aec03,8722903cbb8f,master,,v6.14,semantic(generic wrong type integer overflow etc),"Thread Behavior, Kernel/driver Event",User reported or In-production,no action,lockup / hang,Panic,potential lockup as sleep in an atomic context,,,,,
3b4035ddbfc8e4521f85569998a7569668cccf51,fdaba61ef8a2,master;linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y,linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y,v5.13,semantic(maintain in-memory data structure wrong cfs tree list etc),Thread Behavior,Code Review or Internal Debug,no action,"Functionality (CFS bandwidth), ""Performance (Policy violation, fairness)""",None,leaf_cfs_rq_list,,,,,
02d954c0fdf91845169cdacc7405b120f90afe01,7e019dcc470f,master,,v6.13,semantic(incorrect update stats),"Thread Behavior, Property change (per thread)",Benchmark/stress test regression,"unit test, comment","""Performance (Policy violation, locality)""",None,unit test is about cid,,,,,
563bc2161b94571ea425bbe2cf69fd38e24cdedf,aef6987d8954,master;linux-6.12.y,linux-6.12.y,v6.12,semantic(incorrect update stats),"Property change (per cgroup), Thread Behavior",Code Review or Internal Debug,no action,"""Performance (Policy violation, fairness)""",None,,,,,,
f553741ac8c0e467a3b873e305f34b902e50b86d,63304558ba5d,master;linux-6.12.y,linux-6.12.y,v6.6,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Property change (per thread), Thread Behavior, multiple sched class",Code Review or Internal Debug,comment,"""Performance (Policy violation, impact from lower priority task)""",None,,,,,,
3429dd57f0deb1a602c2624a1dd7c4c11b6c4734,76f2f783294d,master;linux-6.12.y,linux-6.12.y,v6.13,semantic(incorrect update stats),"Thread Behavior, Property change (per cgroup)",Benchmark/stress test regression,comment,No impact (self correcting),None,,,,,,
5d808c78d97251af1d3a3e4f253e7d6c39fd871e,d95f41220065,master;linux-6.12.y,linux-6.12.y,v2.6.39,concurrency,Thread Behavior,User reported or In-production,no action,Functionality (task state change failure),Warning,blocking task remain on rq,race,,,,
66951e4860d3c688bfa550ea4a19635b57e00eca,152e11f6df29,master;linux-6.12.y,linux-6.12.y,v6.12,semantic(incorrect update stats),"Thread Behavior, Property change (per cgroup)",Code Review or Internal Debug,comment,"""Performance (Policy violation, fairness)""",None,,,,,,
6d71a9c6160479899ee744d2c6d6602a191deb1f,eab03c23c2a1,master,,v6.7,semantic(incorrect update stats),"Thread Behavior, Property change (per cgroup)",User reported or In-production,comment,"""Performance (Policy violation, fairness)""",None,,turbostat,,,,
a430d99e349026d53e2557b7b22bd2ebd61fe12a,d31980846f96,master;linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y,linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y,v3.10,semantic(incorrect update stats),Thread Behavior,User reported or In-production,tracepoint,Functionality (Trace or account),None,,,,,,
8e461a1cb43d69d2fc8a97e61916dce571e6bb31,600f5badb78c,master;linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y,linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y,v5.3,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Thread Behavior, Kernel/driver Event",Benchmark/stress test regression,no action,"""Performance (Policy violation, cpufreq control)""",None,,,,,,
c7f7e9c73178e0e342486fd31e7f363ef60e3f83,a110a81c52a9,master;linux-6.12.y,linux-6.12.y,v6.12,semantic(incorrect update stats),"multiple sched class, Thread Behavior",Code Review or Internal Debug,comment,"""Performance (Policy violation, fairness)""",None,,,,,,
b53127db1dbf7f1047cf35c10922d801dcd40324,63ba8422f876,master;linux-6.12.y,linux-6.12.y,v6.8,concurrency,"Thread Behavior, multiple sched class",User reported or In-production,comment,Functionality (Deadline enforce / admission control),None,,,,,,
76f2f783294d7d55c2564e2dfb0a7279ba0bc264,fc1892becd56,master;linux-6.12.y,linux-6.12.y,v6.12,semantic(incorrect update stats),Thread Behavior,Code Review or Internal Debug,no action,"""Performance (Policy violation, balance, work conserving)"", ""Performance (Policy violation, fairness)""",None,,,,,,
c1f43c342e1f2e32f0620bf2e972e2a9ea0a1e60,11cc374f4643b,master;linux-6.12.y,linux-6.12.y,v6.12,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Thread Behavior, Property change (per cgroup)",Code Review or Internal Debug,no action,Functionality (starvation),None,,,,,,
493afbd187c4c9cc1642792c0d9ba400c3d6d90d,152e11f6df29,master;linux-6.12.y,linux-6.12.y,v6.12,semantic(incorrect update stats),Thread Behavior,Benchmark/stress test/standard test fail,no action,Crash,Panic,,,,,,
5f1b64e9a9b7ee9cfd32c6b2fab796e29bfed075,ef6a22b70f6d,master;linux-6.12.y;linux-6.6.y,linux-6.12.y;linux-6.6.y,v6.4,memory,"Thread Behavior, Special topology (numa)",Benchmark/stress test regression,no action,Memory Leak,None,,,,,,
0664e2c311b9fa43b33e3e81429cd0c2d7f9c638,295d6d5e3736,master;linux-6.12.y;linux-6.6.y,linux-6.12.y;linux-6.6.y,v4.15,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Thread Behavior, multiple sched class",Benchmark/stress test/standard test fail,no action,Functionality (Deadline enforce / admission control),Warning,,,,,,
e932c4ab38f072ce5894b2851fea8bc5754bb8e5,b2a02fc43a1f,master;linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y,linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y,v5.8,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Kernel/driver Event, Thread Behavior",Customizied test,no action,"""Performance (Policy violation, sched overhead)""",None,unnecessary wakeup softirq,,,,,
ff47a0acfcce309cf9e175149c75614491953c8f,b2a02fc43a1f,master;linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y,linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y,v5.8,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Kernel/driver Event, Thread Behavior",Code Review or Internal Debug,no action,"""Performance (Policy violation, sched overhead)""",None,,,,,,
ea9cffc0a154124821531991d5afdd7e8b20d7aa,b2a02fc43a1f,master;linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y,linux-6.12.y;linux-6.6.y;linux-6.1.y;linux-5.15.y;linux-5.10.y,v5.8,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Thread Behavior, Kthread Behavior",Customizied test,no action,No impact (unnecessary check or warning),None,ipi,,,,,
70ee7947a29029736a1a06c73a48ff37674a851b,8f9ea86fdf99b,master;linux-6.12.y,linux-6.12.y,v6.2,concurrency,"Thread Behavior, Property change (per thread)",Customizied test,no action,No impact (unnecessary check or warning),None,,,,,,
22368fe1f9bbf39db2b5b52859589883273e80ce,a110a81c52a9,master;linux-6.12.y,linux-6.12.y,v6.12,semantic(generic wrong type integer overflow etc),Thread Behavior,Code Review or Internal Debug,no action,No impact (coding rule),None,& v.s. &&,,,,,
